ID_LOCAL;DIRECCIÓN;LOCAL;REGIÓN;RPM;EMPRESA DISTRIBUIDORA;ESTADO;COMUNA;CONVENIO;FORMATO
3;Diego Portales 2090;OLMUE;V - Valparaiso;0;EL GRANIZO LTDA;Abierto;Olmué;SIN CONVENIO;UNI
5;Nicaragua 1571;LAS COMPAÑIAS;IV - Coquimbo;2644;AGUAS DEL VALLE S A;Abierto;La Serena;SIN CONVENIO;UNI
6;El Sauce 981;SINDEMPART;IV - Coquimbo;0;AGUAS DEL VALLE S A;Abierto;Coquimbo;SIN CONVENIO;UNI
7;Brasil 663;VALLENAR I;III - Atacama;0;NUEVA ATACAMA;Abierto;Vallenar;CONVENIO;UNI
8;Brasil 715;RECOVA;IV - Coquimbo;0;AGUAS DEL VALLE S A;Abierto;La Serena;SIN CONVENIO;UNI
9;Francisco Varela 1480;COQUIMBO;IV - Coquimbo;0;AGUAS DEL VALLE S A;Abierto;Coquimbo;SIN CONVENIO;UNI
10;A Prat 295;TIL TIL;RM - Santiago;0;AGUAS ANDINAS S.A.;Abierto;Til Til;SIN CONVENIO;UNI
11;Alessandri 531;ALTO PEÑUELAS;IV - Coquimbo;0;AGUAS DEL VALLE S A;Abierto;Coquimbo;SIN CONVENIO;UNI
12;Reinaldo Boltz 1950;CISTERNAS;IV - Coquimbo;0;AGUAS DEL VALLE S A;Abierto;La Serena;SIN CONVENIO;UNI
13;Carlos Pezoa Veliz 10-22 Loc 01;LA TORRE;II - Antofagasta;0;AGUAS DE ANTOFAGASTA S A;Abierto;Antofagasta;SIN CONVENIO;UNI
14;Av. Henrriquez N° 523;COPIAPO;III - Atacama;0;NUEVA ATACAMA;Abierto;Copiapó;CONVENIO;UNI
16;Arturo Prat 2350;VALLENAR II;III - Atacama;0;NUEVA ATACAMA;Abierto;Vallenar;TERMINADO;UNI
17;Los Alamos 580;LOS ALAMOS;IV - Coquimbo;2643;AGUAS DEL VALLE S A;Abierto;Coquimbo;TERMINADO;UNI
18;Ohiggins 115;EL SALVADOR;III - Atacama;0;NUEVA ATACAMA;Abierto;Diego De Almagro;SIN CONVENIO;UNI
19;Huamachuco 8481;BONILLA;II - Antofagasta;0;AGUAS DE ANTOFAGASTA S A;Abierto;Antofagasta;SIN CONVENIO;UNI
20;Gabriela Mistral 602;BARQUITO;III - Atacama;0;NUEVA ATACAMA;Abierto;Chañaral;SIN CONVENIO;UNI
21;Tangue 36;TANGUE;IV - Coquimbo;0;AGUAS DEL VALLE S A;Abierto;Ovalle;SIN CONVENIO;UNI
22;Los Carreras 2242;ATACAMA;III - Atacama;2666;NUEVA ATACAMA;Abierto;Copiapó;CONVENIO;UNI
23;Los Carrera 479;LOS CARRERAS;III - Atacama;0;NUEVA ATACAMA;Abierto;Copiapó;SIN CONVENIO;UNI
24;Los Carreras  586;CHACABUCO;III - Atacama;0;NUEVA ATACAMA;Abierto;Copiapó;SIN CONVENIO;UNI
25;Av. Palomar 1525;EL PALOMAR;III - Atacama;3868;NUEVA ATACAMA;Abierto;Copiapó;TERMINADO;UNI
26;Jose Santos Ossa 2421;SANTOS OSSA;II - Antofagasta;0;AGUAS DE ANTOFAGASTA S A;Cerrado;Antofagasta;SIN CONVENIO;UNI
27;Av. Santos Ossa 2350;PAMPINO;II - Antofagasta;0;AGUAS DE ANTOFAGASTA S A;Abierto;Antofagasta;SIN CONVENIO;UNI
28;Av. Jose Miguel Carrera 1527;PARQUE;II - Antofagasta;0;AGUAS DE ANTOFAGASTA S A;Abierto;Antofagasta;SIN CONVENIO;UNI
29;Av. Angamos 0159;GRAN VIA;II - Antofagasta;0;AGUAS DE ANTOFAGASTA S A;Abierto;Antofagasta;SIN CONVENIO;UNI
30;Balmaceda 1350;BALMACEDA;IV - Coquimbo;0;AGUAS DEL VALLE S A;Abierto;La Serena;SIN CONVENIO;UNI
32;Chacabuco Nº 231;CHAÑARCILLO;III - Atacama;0;NUEVA ATACAMA;Abierto;Copiapó;CONVENIO;UNI
33;Av. Argentina 1910;COVIEFI;II - Antofagasta;0;AGUAS DE ANTOFAGASTA S A;Abierto;Antofagasta;SIN CONVENIO;UNI
34;Pedro Aguirre Cerda 8700;LA CHIMBA;II - Antofagasta;0;AGUAS DE ANTOFAGASTA S A;Abierto;Antofagasta;SIN CONVENIO;UNI
35;Av. Ambrosio Ohiggins 1920;CURACAVÍ I;RM - Santiago;0;AGUAS ANDINAS S.A.;Abierto;Curacaví;SIN CONVENIO;UNI
36;Arturo Prat 681;LAMPA;RM - Santiago;0;AGUAS ANDINAS S.A.;Cerrado;Lampa;SIN CONVENIO;UNI
41;Ignacio Carrera Pinto 3857;IGNACIO CARRERA PINTO;RM - Santiago;0;AGUAS ANDINAS S.A.;Abierto;Ñuñoa;SIN CONVENIO;UNI
43;Av. Francia 640;BATUCO;RM - Santiago;0;AGUAS ANDINAS S.A.;Abierto;Lampa;SIN CONVENIO;UNI
44;Av. Las Rejas Sur 1279;LAS REJAS;RM - Santiago;0;SMAPA;Cerrado;Estacion Central;SIN CONVENIO;UNI
45;Av. 2 Transversal 4090;2° TRANSVERSAL MAIPU;RM - Santiago;0;SMAPA;Abierto;Maipú;SIN CONVENIO;UNI
46;Granaderos 3180;CALAMA I;II - Antofagasta;3035;AGUAS DE ANTOFAGASTA S A;Abierto;Calama;SIN CONVENIO;UNI
47;Ignacio Carrera Pinto 909;PLAZA;II - Antofagasta;0;AGUAS DE ANTOFAGASTA S A;Abierto;Antofagasta;SIN CONVENIO;UNI
48;Carlos Oviedo Cavada 5319;OVIEDO CAVADA;II - Antofagasta;0;AGUAS DE ANTOFAGASTA S A;Abierto;Antofagasta;SIN CONVENIO;UNI
49;Av. Vic. Mackenna  9090;VICUÑA P19;RM - Santiago;0;AGUAS ANDINAS S.A.;Abierto;La Florida;SIN CONVENIO;UNI
50;Constitucion 515;ILLAPEL I;IV - Coquimbo;0;AGUAS DEL VALLE S A;Abierto;Illapel;SIN CONVENIO;UNI
51;O'Higgins 34;QUILLOTA I;V - Valparaiso;0;ESVAL S.A.;Abierto;Quillota;SIN CONVENIO;UNI
53;Portus 1248;SAN FELIPE;V - Valparaiso;0;ESVAL S.A.;Abierto;San Felipe;SIN CONVENIO;UNI
54;Yerbas Buenas 460;LOS ANDES;V - Valparaiso;0;ESVAL S.A.;Abierto;Los Andes;SIN CONVENIO;UNI
56;Av. Los Halcones 2180;LARAPINTA;RM - Santiago;0;AGUAS ANDINAS S.A.;Abierto;Lampa;SIN CONVENIO;UNI
58;Av. Concha Y Toro N°3193;CONCHA Y TORO;RM - Santiago;0;AGUAS ANDINAS S.A.;Abierto;Puente Alto;SIN CONVENIO;UNI
59;Independencia 0104;ILLAPEL II;IV - Coquimbo;0;AGUAS DEL VALLE S A;Abierto;Illapel;SIN CONVENIO;UNI
60;Caupolican 584;LOS VILOS;IV - Coquimbo;0;AGUAS DEL VALLE S A;Abierto;Los Vilos;SIN CONVENIO;UNI
61;Av. Padre Hurtado 13694;SAN BERNARDO I;RM - Santiago;0;AGUAS ANDINAS S.A.;Cerrado;San Bernardo;SIN CONVENIO;UNI
62;Gonzalo Bulnes 2407;CARRASCAL;RM - Santiago;0;AGUAS ANDINAS S.A.;Abierto;Quinta Normal;SIN CONVENIO;UNI
63;Av. Rinconada 1900;RINCONADA;RM - Santiago;0;SMAPA;Cerrado;Maipú;SIN CONVENIO;UNI
64;San Francisco 2265;FRANKLIN;RM - Santiago;0;AGUAS ANDINAS S.A.;Cerrado;Santiago;SIN CONVENIO;UNI
67;Constitucion 120;CASABLANCA;V - Valparaiso;0;ESVAL S.A.;Abierto;Casablanca;SIN CONVENIO;UNI
68;Balmaceda 280;BUIN;RM - Santiago;0;AGUAS ANDINAS S.A.;Abierto;Buin;SIN CONVENIO;UNI
70;Anibal Pinto 143;LOTA I;VIII - Biobío;0;ESSBIO S.A.;Cerrado;Lota;SIN CONVENIO;UNI
71;Freire 699;PENCO;VIII - Biobío;0;ESSBIO S.A.;Abierto;Penco;SIN CONVENIO;UNI
72;Manuel Montt 1251;TOME;VIII - Biobío;0;ESSBIO S.A.;Cerrado;Tomé;SIN CONVENIO;UNI
73;Bilbao 200;TALCAHUANO;VIII - Biobío;0;ESSBIO S.A.;Cerrado;Talcahuano;SIN CONVENIO;UNI
74;Las Araucarias 295;HIGUERAS;VIII - Biobío;0;ESSBIO S.A.;Abierto;Talcahuano;SIN CONVENIO;UNI
75;Tucapel 1313;CONCEPCION II;VIII - Biobío;0;ESSBIO S.A.;Abierto;Concepción;SIN CONVENIO;UNI
76;M. Montt 501;CORONEL;VIII - Biobío;0;ESSBIO S.A.;Abierto;Coronel;SIN CONVENIO;UNI
77;Pedro Aguirre Cerda 684;LOTA II;VIII - Biobío;0;ESSBIO S.A.;Abierto;Lota;SIN CONVENIO;UNI
78;Los Lleuques 1540;BELLAVISTA;VIII - Biobío;0;ESSBIO S.A.;Abierto;Concepción;SIN CONVENIO;UNI
79;Manuel Rodriguez 785;CHIGUAYANTE;VIII - Biobío;0;ESSBIO S.A.;Abierto;Chiguayante;SIN CONVENIO;UNI
80;Av. O'Higgins 1257;ANGOL I;IX - Araucanía;0;AGUAS ARAUCANIA S A;Abierto;Angol;SIN CONVENIO;UNI
81;Los Mañios 7045;LOMAS COLORADAS;VIII - Biobío;0;ESSBIO S.A.;Abierto;San Pedro de la Paz;SIN CONVENIO;UNI
82;Miraflores 242;ALTO JAHUEL;RM - Santiago;0;AGUAS ANDINAS S.A.;Abierto;Buin;SIN CONVENIO;UNI
85;Amunategui 902;AMUNATEGUI;I - Tarapacá;0;AGUAS DEL ALTIPLANO S.A.;Abierto;Iquique;CONVENIO;UNI
86;Fco.Bilbao 3545;BILBAO;I - Tarapacá;4049;AGUAS DEL ALTIPLANO S.A.;Abierto;Iquique;CONVENIO;UNI
87;M. Rodriguez 964;JUAN MARTINEZ;I - Tarapacá;0;AGUAS DEL ALTIPLANO S.A.;Abierto;Iquique;CONVENIO;UNI
88;Maipu Nº 556;LINARES I;VII - Maule;0;NUEVOSUR S.A.;Abierto;Linares;SIN CONVENIO;UNI
90;Av. Januario Espinoza 985;LINARES II;VII - Maule;0;NUEVOSUR S.A.;Cerrado;Linares;SIN CONVENIO;UNI
91;Comercio 310;COMBARBALA;IV - Coquimbo;0;AGUAS DEL VALLE S A;Abierto;Combarbalá;SIN CONVENIO;UNI
92;Republica 342;LIMACHE;V - Valparaiso;0;ESVAL S.A.;Abierto;Limache;SIN CONVENIO;UNI
93;Manuel Rodriguez 954;SAN FERNANDO II;VI - O'Higgins;0;ESSBIO S.A.;Abierto;San Fernando;SIN CONVENIO;UNI
96;"Avenida Bernardo O""Higgins 601";SAN FERNANDO I;VI - O'Higgins;0;ESSBIO S.A.;Abierto;San Fernando;SIN CONVENIO;UNI
97;Manuel Bulnes 677;SALAMANCA;IV - Coquimbo;0;AGUAS DEL VALLE S A;Abierto;Salamanca;SIN CONVENIO;UNI
103;Vivar 786;VIVAR;I - Tarapacá;4420;AGUAS DEL ALTIPLANO S.A.;Abierto;Iquique;CONVENIO;UNI
104;Av. Pérez Opazo 3165;ALTO HOSPICIO;I - Tarapacá;0;AGUAS DEL ALTIPLANO S.A.;Cerrado;Alto Hospicio;SIN CONVENIO;UNI
105;Tarapaca 579;IQUIQUE CENTRO;I - Tarapacá;4051;AGUAS DEL ALTIPLANO S.A.;Abierto;Iquique;TERMINADO;UNI
106;Santiago Polanco 2251;LOS MOLLES;I - Tarapacá;4050;AGUAS DEL ALTIPLANO S.A.;Abierto;Iquique;CONVENIO;UNI
107;Benavente 221;BENAVENTE;IV - Coquimbo;0;AGUAS DEL VALLE S A;Abierto;Ovalle;SIN CONVENIO;UNI
109;21 Mayo 1704;TOCOPILLA I;II - Antofagasta;0;AGUAS DE ANTOFAGASTA S A;Abierto;Tocopilla;SIN CONVENIO;UNI
