empresa;local_id;local_nombre;local_region;local_comuna;local_direccion;local_rpm;local_convenio;laboratorio;fecha_emision;fecha_muestreo;tipo_muestreo;tipo_monitoreo;aceites_grasas;ph;dbo5;dqo;fosforo;nitrogeno_amoniacal;poder_espumogeno;solidos_sedimentables;solidos_suspendidos_totales;volumen_de_descarga_diaria;volumen_de_descarga_mensual;aluminio;arsenico;boro;cadmio;cianuro;zinc;cobre;cromo_total;cromo_hexavalente;hidrocarburos_totales;manganeso;mercurio;niquel;plomo;sulfatos;sulfuros;created_at
RENDIC;344;CURICO ALAMEDA;VII - Maule;Curicó;Estado 43;4530;SIN CONVENIO;;;20-04-2023;RESUMEN;CONTROL DIRECTO;5;7,56;275;18,3;9,63;41,9;;147,75;;;;;;;;;;;;;;;;;;;11,6;
MAYORISTA;3143;M10 TEMUCO IV;IX - Araucanía;Temuco;Francisco Salazar 01650;4422;CONVENIO;AGQ;;07-07-2023;RESUMEN;CONTROL DIRECTO;16;7,7;33,3;2;0,6;21;0,4;60;1,44;43,2;;;;;;;;;;;;;;;;;14,15;
RENDIC;750;CAÑETE;VIII - Biobío;Cañete;Saavedra 525;0;SIN CONVENIO;BIODIVERSA;;12-09-2023;RESUMEN;CONTROL DIRECTO;11;6,88;259;2;6,14;13,6;0,5;37,67;0;0;;;;;;;;;;;;;;;;;10,6;
RENDIC;980;MAIPU EL ROSAL;RM - Santiago;Maipú;Av. El Rosal 6361;0;SIN CONVENIO;HIDROLAB;;02-10-2023;RESUMEN;CONTROL DIRECTO;3,16;7,05;322;2;5,8;69,2;0,2;65;0;0;;;;;;;;;;;;;;;;;22,5;
RENDIC;911;MAIPU 4 PONIENTE;RM - Santiago;Maipú;4 Poniente 1197;0;SIN CONVENIO;HIDROLAB;;10-10-2023;RESUMEN;CONTROL DIRECTO;14,5;6,55;338;2;1,8;0,5;0,4;182;0;0;;;;;;;;;;;;;;;;;25;
RENDIC;911;MAIPU 4 PONIENTE;RM - Santiago;Maipú;4 Poniente 1197;0;SIN CONVENIO;HIDROLAB;;11-10-2023;RESUMEN;CONTROL DIRECTO;7,76;7,19;344;2;15,9;0,89;0,3;128;0;0;;;;;;;;;;;;;;;;;19,9;
RENDIC;910;MAIPU CAMINO MELIPILLA;RM - Santiago;Maipú;Camino Melipilla 16850;0;SIN CONVENIO;HIDROLAB;;13-10-2023;RESUMEN;CONTROL DIRECTO;2,82;7,08;195;2;9,4;46,3;0,1;30;0;0;;;;;;;;;;;;;;;;;23;
RENDIC;911;MAIPU 4 PONIENTE;RM - Santiago;Maipú;4 Poniente 1197;0;SIN CONVENIO;HIDROLAB;;13-10-2023;RESUMEN;CONTROL DIRECTO;5,47;6,62;393;2;5,2;1,97;0,2;88;0;0;;;;;;;;;;;;;;;;;19,4;
RENDIC;442;COYHAIQUE;XI - Aysén;Coyhaique;Lautaro 331;1320;SIN CONVENIO;BIODIVERSA;;23-10-2023;RESUMEN;CONTROL DIRECTO;94,4;8,28;1945;2;33,6;29;5,5;1395;36,2;1086;;;;;;;;;;;;;;;;;11,16;
RENDIC;87;JUAN MARTINEZ;I - Tarapacá;Iquique;M. Rodriguez 964;0;CONVENIO;SGS;;07-11-2023;RESUMEN;CONTROL DIRECTO;6;6,78;278;4;25,3;36,89;0,8;72;4,6;138;;;;;;;;;;;;;;;;;23,64;
