empresa;local_id;local_nombre;local_region;local_comuna;local_direccion;local_rpm;local_convenio;laboratorio;fecha_emision;fecha_muestreo;tipo_muestreo;tipo_monitoreo;aceites_grasas;ph;dbo5;dqo;fosforo;nitrogeno_amoniacal;poder_espumogeno;solidos_sedimentables;solidos_suspendidos_totales;volumen_de_descarga_diaria;volumen_de_descarga_mensual;aluminio;arsenico;boro;cadmio;cianuro;zinc;cobre;cromo_total;cromo_hexavalente;hidrocarburos_totales;MANGANESO  (MG/L);mercurio;niquel;plomo;sulfatos;sulfuros;TEMPERATURA    (C°)
RENDIC;344;CURICO ALAMEDA;VII - Maule;Curicó;Estado 43;4530.0;SIN CONVENIO;;;2023-04-20 00:00:00;RESUMEN;CONTROL DIRECTO;5.0;7.56;275.0;;9.63;41.9;18.3;;147.75;;;;;;;;;;;;;;;;;;;11.6
MAYORISTA;3143;M10 TEMUCO IV;IX - Araucanía;Temuco;Francisco Salazar 01650;4422.0;CONVENIO;AGQ;;2023-07-07 00:00:00;RESUMEN;CONTROL DIRECTO;16.0;7.7;33.3;;0.6;21.0;2.0;0.4;60.0;1.44;43.199999999999996;;;;;;;;;;;;;;;;;14.15
RENDIC;750;CAÑETE;VIII - Biobío;Cañete;Saavedra 525;0.0;SIN CONVENIO;BIODIVERSA;;2023-09-12 00:00:00;RESUMEN;CONTROL DIRECTO;11.0;6.88;259.0;;6.14;13.6;2.0;0.5;37.67;0;0.0;;;;;;;;;;;;;;;;;10.6
RENDIC;980;MAIPU EL ROSAL;RM - Santiago;Maipú;Av. El Rosal 6361;0.0;SIN CONVENIO;HIDROLAB;;2023-10-02 00:00:00;RESUMEN;CONTROL DIRECTO;3.16;7.05;322.0;;5.8;69.2;2.0;0.2;65.0;0;0.0;;;;;;;;;;;;;;;;;22.5
RENDIC;911;MAIPU 4 PONIENTE;RM - Santiago;Maipú;4 Poniente 1197;0.0;SIN CONVENIO;HIDROLAB;;2023-10-10 00:00:00;RESUMEN;CONTROL DIRECTO;14.5;6.55;338.0;;1.8;0.5;2.0;0.4;182.0;0;0.0;;;;;;;;;;;;;;;;;25
RENDIC;911;MAIPU 4 PONIENTE;RM - Santiago;Maipú;4 Poniente 1197;0.0;SIN CONVENIO;HIDROLAB;;2023-10-11 00:00:00;RESUMEN;CONTROL DIRECTO;7.76;7.19;344.0;;15.9;0.89;2.0;0.3;128.0;0;0.0;;;;;;;;;;;;;;;;;19.9
RENDIC;910;MAIPU CAMINO MELIPILLA;RM - Santiago;Maipú;Camino Melipilla 16850;0.0;SIN CONVENIO;HIDROLAB;;2023-10-13 00:00:00;RESUMEN;CONTROL DIRECTO;2.82;7.08;195.0;;9.4;46.3;2.0;0.1;30.0;0;0.0;;;;;;;;;;;;;;;;;23
RENDIC;911;MAIPU 4 PONIENTE;RM - Santiago;Maipú;4 Poniente 1197;0.0;SIN CONVENIO;HIDROLAB;;2023-10-13 00:00:00;RESUMEN;CONTROL DIRECTO;5.47;6.62;393.0;;5.2;1.97;2.0;0.2;88.0;0;0.0;;;;;;;;;;;;;;;;;19.4
RENDIC;442;COYHAIQUE;XI - Aysén;Coyhaique;Lautaro 331;1320.0;SIN CONVENIO;BIODIVERSA;;2023-10-23 00:00:00;RESUMEN;CONTROL DIRECTO;94.4;8.28;1945.0;;33.6;29.0;2.0;5.5;1395.0;36.2;1086.0;;;;;;;;;;;;;;;;;11.16
RENDIC;87;JUAN MARTINEZ;I - Tarapacá;Iquique;M. Rodriguez 964;0.0;CONVENIO;SGS;;2023-11-07 00:00:00;RESUMEN;CONTROL DIRECTO;6.0;6.78;278.0;;25.3;36.89;4.0;0.8;72.0;4.6;138.0;;;;;;;;;;;;;;;;;23.64
RENDIC;80;ANGOL I;IX - Araucanía;Angol;Av. O'Higgins 1257;0.0;SIN CONVENIO;AGQ;;2023-11-10 00:00:00;RESUMEN;CONTROL DIRECTO;39.0;7.46;447.0;;28.4;59.6;4.0;3.3;540.0;4.32;129.60000000000002;;;;;;;;;;;;;;;;;19.95
RENDIC;7;VALLENAR I;III - Atacama;Vallenar;Brasil 663;0.0;CONVENIO;BIODIVERSA;;2023-11-14 00:00:00;RESUMEN;CONTROL DIRECTO;1.15;8.08;84.0;;4.34;47.85;15.3;1.3;124.0;1.728;51.839999999999996;;;;;;;;;;;;;;;;0.1;18.6
RENDIC;14;COPIAPO;III - Atacama;Copiapó;Av. Henrriquez N° 523;0.0;CONVENIO;BIODIVERSA;;2023-11-20 00:00:00;RESUMEN;CONTROL DIRECTO;9.28;6.99;380.0;;8.13;24.85;16.7;0.9;126.0;7.488;224.64000000000001;;;;;;;;;;;;;;;;0.3;22.2
RENDIC;600;ALTO HOSPICIO II;I - Tarapacá;Alto Hospicio;Ruta A16 3350;0.0;SIN CONVENIO;SGS;;2023-11-21 00:00:00;RESUMEN;CONTROL DIRECTO;8.0;7.82;766.0;;9.7;118.56;41.0;0.6;286.0;11.1;333.0;;;;;;;;;;;;;;;;;26.53
RENDIC;472;CALDERA I;III - Atacama;Caldera;Batallon Atacama 319;0.0;CONVENIO;BIODIVERSA;;2023-11-22 00:00:00;RESUMEN;CONTROL DIRECTO;3.6;7.8;169.0;;7.57;44.4;7.0;0.9;119.0;1.152;34.559999999999995;;;;;;;;;;;;;;;;0.1;21.7
RENDIC;532;CURACAUTIN;IX - Araucanía;Curacautin;"O""Higgins 515";0.0;CONVENIO;AGQ;;2023-11-27 00:00:00;RESUMEN;CONTROL DIRECTO;4.88;8.07;195.0;;9.2;50.6;12.0;20;118.0;1.01;30.3;;;;;;;;;;;;;;;;;21
